,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
archaea_168,Archaea,Candidatus Micrarchaeota,DPANN group,,,,,,,DPANN group
archaea_644,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,,Halorubrum
archaea_521,Archaea,Candidatus Nanohaloarchaeota,DPANN group,Candidatus Nanohalobia,Candidatus Nanohalobiales,Candidatus Nanohalobiaceae,Candidatus Nanohalobium,Candidatus Nanohalobium constans,,Candidatus Nanohalobium constans
archaea_164,Archaea,Candidatus Thermoplasmatota,,Thermoplasmata,Methanomassiliicoccales,,,,,Methanomassiliicoccales
archaea_205,Archaea,Thaumarchaeota,TACK group,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus,,,Candidatus Nitrosocosmicus
